
SR Tendulkar,463,452,41,18426,200,44.83,21367,20,96,49,86.23
KC Sangakkara,404,380,41,14234,169,41.98,18048,15,93,25,78.86
RT Ponting,375,365,39,13704,164,42.03,17046,20,82,30,80.39
ST Jayasuriya,445,433,18,13430,189,32.36,14725,34,68,28,91.2
DPMD Jayawardene,448,418,39,12650,144,33.37,16020,28,77,19,78.96
Inzamam-ul-Haq,378,350,53,11739,137,39.52,15812,20,83,10,74.24
V Kohli,242,233,39,11609,183,59.84,12445,13,55,43,93.28
JH Kallis,328,314,53,11579,139,44.36,15885,17,86,17,72.89
SC Ganguly,311,300,23,11363,183,41.02,15416,16,72,22,73.7
R Dravid,344,318,40,10889,153,39.16,15284,13,83,12,71.24
MS Dhoni,350,297,84,10773,183,50.57,12303,10,73,10,87.56
CH Gayle,301,294,17,10480,215,37.83,12019,25,54,25,87.19
BC Lara,299,289,32,10405,169,40.48,13086,16,63,19,79.51
TM Dilshan,330,303,41,10290,161,39.27,11933,11,47,22,86.23
Mohammad Yousuf,288,273,40,9720,141,41.71,12942,15,64,15,75.1
AC Gilchrist,287,279,11,9619,172,35.89,9922,19,55,16,96.94
AB de Villiers,228,218,39,9577,176,53.5,9473,7,53,25,101.09
M Azharuddin,334,308,54,9378,153,36.92,12669,9,58,7,74.02
PA de Silva,308,296,30,9284,145,34.9,11443,17,64,11,81.13
RG Sharma,221,214,32,8944,264,49.14,10063,13,43,28,88.88
Saeed Anwar,247,244,19,8824,194,39.21,10938,15,43,20,80.67
S Chanderpaul,268,251,40,8778,150,41.6,12408,6,59,11,70.74
Yuvraj Singh,304,278,40,8701,150,36.55,9924,18,52,14,87.67
DL Haynes,238,237,28,8648,152,41.37,13707,13,57,17,63.09
MS Atapattu,268,259,32,8529,132,37.57,12594,13,59,11,67.72
ME Waugh,244,236,20,8500,173,39.35,11053,16,50,18,76.9
LRPL Taylor,228,212,37,8376,181,47.86,10091,9,50,20,83
V Sehwag,251,245,9,8273,219,35.05,7929,14,38,15,104.33
HM Amla,181,178,14,8113,159,49.46,9178,4,39,27,88.39
HH Gibbs,248,240,16,8094,175,36.13,9721,22,37,21,83.26
Shahid Afridi,398,369,27,8064,124,23.57,6892,30,39,6,117
SP Fleming,280,269,21,8037,134,32.4,11242,17,49,8,71.49
MJ Clarke,245,223,44,7981,130,44.58,10104,10,58,8,78.98
SR Waugh,325,288,58,7569,120,32.9,9971,15,45,3,75.91
Shoaib Malik,287,258,40,7534,143,34.55,9199,15,44,9,81.9
A Ranatunga,269,255,47,7456,131,35.84,9571,18,49,4,77.9
Javed Miandad,233,218,41,7381,119,41.7,11014,8,50,8,67.01
EJG Morgan,233,217,32,7348,148,39.71,8053,15,46,13,91.24
Younis Khan,265,255,23,7249,144,31.24,9628,22,48,7,75.29
Saleem Malik,283,256,38,7170,102,32.88,9383,19,47,5,76.41
NJ Astle,223,217,14,7090,145,34.92,9760,19,41,16,72.64
GC Smith,197,194,10,6989,141,37.98,8648,8,47,10,80.81
WU Tharanga,235,223,17,6951,174,33.74,9155,17,37,15,75.92
MG Bevan,232,196,67,6912,108,53.58,9320,5,46,6,74.16
Tamim Iqbal,204,202,8,6892,154,35.52,8865,18,47,11,77.74
G Kirsten,185,185,19,6798,188,40.95,9436,11,45,13,72.04
A Flower,213,208,16,6786,145,35.34,9097,13,55,4,74.59
IVA Richards,187,167,24,6721,189,47,7451,7,45,11,90.2
MJ Guptill,179,176,19,6626,237,42.2,7586,15,35,16,87.34
Mohammad Hafeez,218,216,15,6614,140,32.9,8633,19,38,11,76.61
GW Flower,221,214,18,6571,142,33.52,9723,18,40,6,67.58
Ijaz Ahmed,250,232,29,6564,139,32.33,8174,14,37,10,80.3
AR Border,273,252,39,6524,127,30.62,9134,11,39,3,71.42
Shakib Al Hasan,206,194,27,6323,134,37.86,7641,10,47,9,82.75
BRM Taylor,193,192,15,6293,145,35.55,8256,15,38,10,76.22
RB Richardson,224,217,30,6248,122,33.41,9801,8,44,5,63.74
ML Hayden,161,155,15,6133,181,43.8,7767,9,36,10,78.96
KS Williamson,149,142,14,6132,148,47.9,7494,5,39,13,81.82
Mushfiqur Rahim,216,202,34,6100,144,36.3,7718,10,37,7,79.03
BB McCullum,260,228,28,6083,166,30.41,6312,20,32,5,96.37
DM Jones,164,161,25,6068,145,44.61,8362,6,46,7,72.56
DC Boon,181,177,16,5964,122,37.04,9157,6,37,5,65.13
JN Rhodes,245,220,51,5935,121,35.11,7336,12,33,2,80.9
JE Root,143,135,21,5856,133,51.36,6702,4,33,16,87.37
Rameez Raja,198,197,15,5841,119,32.09,9226,15,31,9,63.31
AD Mathews,214,184,48,5812,139,42.73,6974,15,40,3,83.33
RR Sarwan,181,169,33,5804,120,42.67,7663,8,38,5,75.74
CL Hooper,227,206,43,5761,113,35.34,7517,7,29,7,76.63
SR Watson,190,169,27,5757,185,40.54,6365,12,33,9,90.44
H Masakadza,209,208,4,5658,178,27.73,7728,15,34,5,73.21
SK Raina,226,194,35,5615,116,35.31,6005,14,36,5,93.5
MN Samuels,207,196,26,5606,133,32.97,7463,11,30,10,75.11
WJ Cronje,188,175,31,5565,112,38.64,7277,8,39,2,76.47
S Dhawan,133,131,7,5518,143,44.5,5869,5,27,17,94.01
F du Plessis,143,136,20,5507,185,47.47,6215,3,35,12,88.6
MEK Hussey,185,157,44,5442,109,48.15,6243,3,39,3,87.16
IR Bell,161,157,14,5416,141,37.87,7019,6,35,4,77.16
A Jadeja,196,179,36,5359,119,37.47,7677,10,30,6,69.8
DR Martyn,208,182,51,5346,144,40.8,6877,10,37,5,77.73
G Gambhir,147,143,11,5238,150,39.68,6144,11,34,11,85.25
ADR Campbell,188,184,14,5185,131,30.5,7834,11,30,7,66.18
RS Mahanama,213,198,23,5162,119,29.49,8521,15,35,4,60.57
CG Greenidge,128,127,13,5134,133,45.03,7908,3,31,11,64.92
Misbah-ul-Haq,162,149,31,5122,96,43.4,6945,6,42,0,73.75
JP Duminy,199,179,40,5117,150,36.81,6052,7,27,4,84.55
PD Collingwood,197,181,37,5092,120,35.36,6614,7,26,5,76.98
A Symonds,198,161,33,5088,156,39.75,5504,15,30,6,92.44
Abdul Razzaq,265,228,57,5080,112,29.7,6252,14,23,3,81.25
DA Warner,116,114,5,4990,179,45.77,5222,2,20,17,95.55
