Player,Mat,Inns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
SL Malinga,79,79,2061,106,5/6,19.44,7.23,16.1,1,2
Shahid Afridi,99,97,2396,98,4/11,24.44,6.63,22.1,3,0
Shakib Al Hasan,76,75,1894,92,5/20,20.58,6.81,18.1,3,1
Saeed Ajmal,64,63,1516,85,4/19,17.83,6.36,16.8,4,0
Umar Gul,60,60,1443,85,5/6,16.97,7.19,14.1,4,2
Rashid Khan,45,45,1052,84,5/3,12.52,6.15,12.2,3,2
GH Dockrell,73,69,1539,75,4/20,20.52,6.95,17.7,1,0
TG Southee,66,64,1954,75,5/18,26.05,8.36,18.6,0,1
Mohammad Nabi,75,75,1839,69,4/10,26.65,7.16,22.3,3,0
KMDN Kulasekara,58,58,1530,66,4/31,23.18,7.45,18.6,2,0
BAW Mendis,39,39,952,66,6/8,14.42,6.45,13.4,3,2
SCJ Broad,56,55,1491,65,4/24,22.93,7.62,18,1,0
Imran Tahir,38,38,948,63,5/23,15.04,6.73,13.4,2,2
DW Steyn,44,44,1068,61,4/9,17.5,6.79,15.4,2,0
Mohammad Amir,48,48,1224,59,4/13,20.74,6.96,17.8,1,0
NL McCullum,63,59,1278,58,4/16,22.03,6.82,19.3,2,0
KJ O'Brien,90,51,1134,58,4/45,19.55,7.53,15.5,1,0
S Badree,52,52,1180,56,4/15,21.07,6.17,20.4,1,0
CJ Jordan,43,43,1300,54,4/6,24.07,8.58,16.8,2,0
Mohammad Hafeez,89,67,1226,54,4/10,22.7,6.58,20.6,1,0
Sohail Tanvir,57,57,1454,54,3/12,26.92,7.18,22.4,0,0
RE van der Merwe,43,42,938,54,4/35,17.37,6.28,16.5,1,0
WB Rankin,48,47,1138,53,3/16,21.47,6.69,19.2,0,0
PM Seelaar,69,58,1190,53,4/19,22.45,6.89,19.5,1,0
R Ashwin,46,46,1193,52,4/8,22.94,6.97,19.7,2,0
DJ Bravo,66,56,1470,52,4/28,28.26,8.46,20,2,0
YS Chahal,36,36,1139,52,6/25,21.9,8.1,16.2,2,1
Mustafizur Rahman,37,37,1065,52,5/22,20.48,7.87,15.5,1,1
SP Narine,51,49,1105,52,4/12,21.25,6.01,21.1,1,0
JJ Bumrah,42,42,1029,51,3/11,20.17,6.71,18,0,0
NLTC Perera,79,64,1628,51,3/24,31.92,9.26,20.6,0,0
GP Swann,39,38,859,51,3/13,16.84,6.36,15.8,0,0
MJ Santner,39,38,928,49,4/11,18.93,7.2,15.7,1,0
SM Sharif,42,41,1185,49,4/24,24.18,8.23,17.6,1,0
SR Watson,58,49,1187,48,4/15,24.72,7.65,19.3,1,0
M Morkel,44,44,1191,47,4/17,25.34,7.5,20.2,2,0
IS Sodhi,40,39,1131,47,3/18,24.06,8.16,17.6,0,0
PA van Meekeren,41,39,945,47,4/11,20.1,6.94,17.3,2,0
