Player,Country
SR Tendulkar,INDIA
KC Sangakkara,SRI LANKA
RT Ponting,AUSTRALIA
ST Jayasuriya,SRI LANKA
DPMD Jayawardene,SRI LANKA
Inzamam-ul-Haq,PAKISTAN
V Kohli,INDIA
JH Kallis,SOUTH AFRICA
SC Ganguly,INDIA
R Dravid,INDIA
MS Dhoni,INDIA
CH Gayle,WEST INDIES
BC Lara,WEST INDIES
TM Dilshan,SRI LANKA
Mohammad Yousuf,PAKISTAN
AC Gilchrist,AUSTRALIA
AB de Villiers,SOUTH AFRICA
M Azharuddin,INDIA
PA de Silva,SRI LANKA
RG Sharma,INDIA
Saeed Anwar,PAKISTAN
S Chanderpaul,WEST INDIES
Yuvraj Singh,INDIA
DL Haynes,WEST INDIES
MS Atapattu,SRI LANKA
ME Waugh,AUSTRALIA
LRPL Taylor,NEW ZEALAND
V Sehwag,INDIA
HM Amla,SOUTH AFRICA
HH Gibbs,SOUTH AFRICA
Shahid Afridi,PAKISTAN
SP Fleming,NEW ZEALAND
MJ Clarke,AUSTRALIA
SR Waugh,AUSTRALIA
Shoaib Malik,PAKISTAN
A Ranatunga,SRI LANKA
Javed Miandad,PAKISTAN
EJG Morgan,ENGLAND/IRELAND
Younis Khan,PAKISTAN
Saleem Malik,PAKISTAN
NJ Astle,NEW ZEALAND
GC Smith,SOUTH AFRICA
WU Tharanga,SRI LANKA
MG Bevan,AUSTRALIA
Tamim Iqbal,BANGLADESH
G Kirsten,SOUTH AFRICA
A Flower,ZIMBABWE
IVA Richards,WEST INDIES
MJ Guptill,NEW ZEALAND
Mohammad Hafeez,PAKISTAN
GW Flower,ZIMBABWE
Ijaz Ahmed,PAKISTAN
AR Border,AUSTRALIA
Shakib Al Hasan,BANGLADESH
BRM Taylor,ZIMBABWE
RB Richardson,WEST INDIES
ML Hayden,AUSTRALIA
KS Williamson,NEW ZEALAND
Mushfiqur Rahim,BANGLADESH
BB McCullum,NEW ZEALAND
DM Jones,AUSTRALIA
DC Boon,AUSTRALIA
JN Rhodes,SOUTH AFRICA
JE Root,ENGLAND
Rameez Raja,PAKISTAN
AD Mathews,SRI LANKA
RR Sarwan,WEST INDIES
CL Hooper,WEST INDIES
SR Watson,AUSTRALIA
H Masakadza,ZIMBABWE
SK Raina,INDIA
MN Samuels,WEST INDIES
WJ Cronje,SOUTH AFRICA
